GEOID,NAME,B01001_calc_PopDensity
6089,Shasta County,18.31466417
6091,Sierra County,1.186862083
6093,Siskiyou County,2.677418441
6095,Solano County,206.0444057
6097,Sonoma County,122.8269245
6099,Stanislaus County,139.1865627
6101,Sutter County,61.43488729
6103,Tehama County,8.296818814
6105,Trinity County,1.562009465
6107,Tulare County,36.85265632
6109,Tuolumne County,9.376087587
6111,Ventura County,177.7279193
6113,Yolo County,81.79800558
6115,Yuba County,46.11910409
8001,Adams County,164.5753082
8003,Alamosa County,8.78669511
8005,Arapahoe County,308.0717154
8007,Archuleta County,3.691471259
8009,Baca County,0.538428946
8011,Bent County,1.482547663
8013,Boulder County,170.6435299
8014,Broomfield County,773.5251676
8015,Chaffee County,7.301362223
8017,Cheyenne County,0.442710949
8019,Clear Creek County,9.163100806
8021,Conejos County,2.441785257
8023,Costilla County,1.159633689
8025,Crowley County,2.760578135
8027,Custer County,2.42546915
8029,Delta County,10.25862867
8031,Denver County,1746.533667
8033,Dolores County,0.666073672
8035,Douglas County,151.0009727
8037,Eagle County,12.45931034
8039,Elbert County,5.249033937
8041,El Paso County,124.925569
8043,Fremont County,11.83731376
8045,Garfield County,7.667957958
8047,Gilpin County,15.2590355
8049,Grand County,3.150392993
8051,Gunnison County,1.971192463
8053,Hinsdale County,0.303426738
8055,Huerfano County,1.597522272
8057,Jackson County,0.310082694
8059,Jefferson County,288.1670164
8061,Kiowa County,0.316472037
8063,Kit Carson County,1.364245023
8065,Lake County,7.769797883
8067,La Plata County,12.59013432
8069,Larimer County,50.29906087
8071,Las Animas County,1.146996368
8073,Lincoln County,0.831016797
8075,Logan County,4.554648651
8077,Mesa County,17.39732685
8079,Mineral County,0.36284133
8081,Moffat County,1.063089924
8083,Montezuma County,4.929472968
8085,Montrose County,7.110239919
8087,Morgan County,8.520276893
8089,Otero County,5.606676985
8091,Ouray County,3.366318394
8093,Park County,3.060796323
8095,Phillips County,2.42349412
8097,Pitkin County,7.123409994
8099,Prowers County,2.840156146
8101,Pueblo County,26.6484169
8103,Rio Blanco County,0.774968455
8105,Rio Grande County,4.805762482
8107,Routt County,4.065971747
8109,Saguache County,0.78815115
8111,San Juan County,0.542015888
8113,San Miguel County,2.390921614
8115,Sedgwick County,1.655606826
8117,Summit County,19.31275691
8119,Teller County,16.71340388
8121,Washington County,0.742125633
8123,Weld County,28.58676378
8125,Yuma County,1.644250309
9001,Fairfield County,583.4165304
9003,Hartford County,470.033815
9005,Litchfield County,76.77098216
9007,Middlesex County,170.7988153
9009,New Haven County,548.8569872
9011,New London County,156.0796361
9013,Tolland County,142.3296361
9015,Windham County,87.72291173
10001,Kent County,115.2242931
10003,New Castle County,502.7696186
10005,Sussex County,90.54899837
11001,District of Columbia,4322.952569
12001,Alachua County,116.1122104
12003,Baker County,18.33099273
12005,Bay County,92.88574252
12007,Bradford County,35.43517528
12009,Brevard County,219.3764634
12011,Broward County,612.6877168
12013,Calhoun County,9.829928189
12015,Charlotte County,100.3107253
12017,Citrus County,94.93927794
12019,Clay County,132.3380171
12021,Collier County,70.38522842
12023,Columbia County,33.45442557
12027,DeSoto County,22.07300896
12029,Dixie County,9.000593262
12031,Duval County,467.7286986
12033,Escambia County,183.0818998
12035,Flagler County,85.26646662
12037,Franklin County,8.312154044
12039,Gadsden County,34.41309565
12041,Gilchrist County,19.44892619
12043,Glades County,6.396443472
12045,Gulf County,11.20100125
12047,Hamilton County,10.72301185
12049,Hardee County,16.48852955
12051,Hendry County,13.3997
12053,Hernando County,149.2023044
12055,Highlands County,38.75140638
12057,Hillsborough County,521.0066098
12059,Holmes County,15.66641222
12061,Indian River County,115.9449839
12063,Jackson County,20.38294824
12065,Jefferson County,9.105798596
12067,Lafayette County,6.213187459
12069,Lake County,136.1988861
12071,Lee County,354.8307687
12073,Leon County,166.8139264
12075,Levy County,13.79768236
12077,Liberty County,3.865349802
12079,Madison County,10.24056807
12081,Manatee County,194.2390085
12083,Marion County,84.68030731
12085,Martin County,111.8867742
12086,Miami-Dade County,552.1870708
12087,Monroe County,29.97806808
12089,Nassau County,47.960964
12091,Okaloosa County,83.31780277
12093,Okeechobee County,20.37434037
12095,Orange County,565.2007179
12097,Osceola County,98.47136801
12099,Palm Beach County,284.088504
12101,Pasco County,264.0275519
12103,Pinellas County,1351.009895
12105,Polk County,143.6573523
12107,Putnam County,38.59923128
12109,St. Johns County,151.366953
12111,St. Lucie County,206.3889596
12113,Santa Rosa County,65.00332156
12115,Sarasota County,285.7580921
12117,Seminole County,567.9030651
12119,Sumter County,83.85731716
12121,Suwannee County,24.63015902
12123,Taylor County,8.177839655
12125,Union County,24.1579477
12127,Volusia County,184.9915148
12129,Wakulla County,20.2958573
12131,Walton County,24.50311443
12133,Washington County,16.22262188
13001,Appling County,14.01828756
13003,Atkinson County,9.311240898
13005,Bacon County,15.26007768
13007,Baker County,3.600682675
13009,Baldwin County,67.58826619
13011,Banks County,30.7975219
13013,Barrow County,184.3449202
13015,Bartow County,87.06431394
13017,Ben Hill County,26.47984793
13019,Berrien County,16.20197066
13021,Bibb County,237.6230669
13023,Bleckley County,22.84919033
13025,Brantley County,16.17660577
13027,Brooks County,12.23231715
13029,Bryan County,31.66554713
13031,Bulloch County,42.71567016
13033,Burke County,10.52749269
13035,Butts County,49.92067542
13037,Calhoun County,8.851659627
13039,Camden County,32.29088126
13043,Candler County,17.19879927
13045,Carroll County,89.76724683
13047,Catoosa County,157.855196
13049,Charlton County,6.425905488
13051,Chatham County,255.8861832
13053,Chattahoochee County,16.71307246
13055,Chattooga County,30.5811718
13057,Cherokee County,221.8137088
13059,Clarke County,403.5373333
13061,Clay County,5.92972984
13063,Clayton County,759.4524648
13065,Clinch County,3.194479252
13067,Cobb County,846.6897774
13069,Coffee County,28.0050694
13071,Colquitt County,32.18979963
13073,Columbia County,196.0552786
13075,Cook County,29.06445414
13077,Coweta County,123.0428652
13079,Crawford County,14.66866007
13081,Crisp County,32.35111079
13083,Dade County,36.01155909
13085,Dawson County,43.69808396
13087,Decatur County,17.34890996
13089,DeKalb County,1071.792083
13091,Dodge County,16.28549963
13093,Dooly County,13.67379756
13095,Dougherty County,106.9675386
13097,Douglas County,273.6920768
13099,Early County,7.794360252
13101,Echols County,3.668091972
13103,Effingham County,47.32731502
13105,Elbert County,21.12744236
13107,Emanuel County,12.76414276
13109,Evans County,22.64537743
13111,Fannin County,24.86526439
13113,Fayette County,221.2247862
13115,Floyd County,73.327379
13117,Forsyth County,378.0699634
13119,Franklin County,33.23399178
13121,Fulton County,749.0585218
13123,Gilmer County,27.10603808
13125,Glascock County,8.082208149
13127,Glynn County,77.27916697
13129,Gordon County,61.62118087
13131,Grady County,21.17483154
13133,Greene County,16.90816692
13135,Gwinnett County,809.1434093
13137,Habersham County,61.77157867
13139,Hall County,192.5293528
13141,Hancock County,6.995568868
13143,Haralson County,39.6220831
13145,Harris County,27.95999603
13147,Hart County,42.57866856
13149,Heard County,15.23138636
13151,Henry County,268.1545574
13153,Houston County,155.7337104
13155,Irwin County,10.09811305
13157,Jackson County,74.74438404
13159,Jasper County,14.44602729
13161,Jeff Davis County,17.49091774
13163,Jefferson County,11.56507965
13165,Jenkins County,9.812495124
13167,Johnson County,12.39782262
13169,Jones County,27.98010351
13171,Lamar County,38.95305074
13173,Lanier County,20.36437069
13175,Laurens County,22.6783855
13177,Lee County,31.84009173
13179,Liberty County,46.43059823
13181,Lincoln County,14.31311751
13183,Long County,17.50796876
13185,Lowndes County,88.98728352
13187,Lumpkin County,43.60027534
13189,McDuffie County,32.23819688
13191,McIntosh County,12.63872337
13193,Macon County,12.99014252
13195,Madison County,39.52268532
13197,Marion County,8.9495611
13199,Meriwether County,16.26375695
13201,Miller County,7.978434865
13205,Mitchell County,16.91088273
13207,Monroe County,26.32880923
13209,Montgomery County,14.46771444
13211,Morgan County,20.26622642
13213,Murray County,44.33472499
13215,Muscogee County,350.8393599
13217,Newton County,150.205821
13219,Oconee County,77.53671083
13221,Oglethorpe County,13.00073608
13223,Paulding County,192.6729203
13225,Peach County,69.28779256
13227,Pickens County,51.29878159
13229,Pierce County,21.73383004
13231,Pike County,32.30892798
13233,Polk County,51.78338682
13235,Pulaski County,17.49578798
13237,Putnam County,24.08701172
13239,Quitman County,5.810523669
13241,Rabun County,17.16668982
13243,Randolph County,6.389714553
13245,Richmond County,239.8436152
13247,Rockdale County,264.7460085
13249,Schley County,12.05448566
13251,Screven County,8.364521574
13253,Seminole County,13.71390191
13255,Spalding County,127.5010942
13257,Stephens County,55.33657684
13259,Stewart County,5.085203438
13261,Sumter County,24.26936641
13263,Talbot County,6.292033252
13265,Taliaferro County,3.303368003
13267,Tattnall County,20.35864747
13269,Taylor County,8.397803352
13271,Telfair County,14.22805918
13273,Terrell County,10.18791475
13275,Thomas County,31.7114458
13277,Tift County,59.94980729
13279,Toombs County,28.68971257
13281,Towns County,26.48100906
13283,Treutlen County,13.12026026
13285,Troup County,65.07102644
13287,Turner County,10.77078095
13289,Twiggs County,8.902957893
13291,Union County,27.30169352
13293,Upson County,31.29241612
13295,Walker County,59.52885189
13297,Walton County,106.4910448
13299,Ware County,15.28610844
13301,Warren County,7.258817371
13303,Washington County,11.64315277
13305,Wayne County,17.90377435
13307,Webster County,4.818979543
13309,Wheeler County,10.3735147
13311,White County,46.39448436
13313,Whitfield County,138.0549123
13315,Wilcox County,9.04013343
13317,Wilkes County,8.128280055
13319,Wilkinson County,7.802589675
13321,Worth County,13.97434093
15001,Hawaii County,18.94430327
15003,Honolulu County,634.9517851
15005,Kalawao County,2.414867625
15007,Kauai County,44.45801384
15009,Maui County,54.94076903
16001,Ada County,163.7075373
16003,Adams County,1.138640153
16005,Bannock County,29.5228912
16007,Bear Lake County,2.359204372
16009,Benewah County,4.515359408
16011,Bingham County,8.399768947
16013,Blaine County,3.219398972
16015,Boise County,1.455945665
16017,Bonner County,9.514596564
16019,Bonneville County,23.25677336
16021,Boundary County,3.514744341
16023,Butte County,0.44920357
16025,Camas County,0.318446855
16027,Canyon County,139.5848719
16029,Caribou County,1.514037097
16031,Cassia County,3.553855593
16033,Clark County,0.235846759
16035,Clearwater County,1.357548779
16037,Custer County,0.324825617
16039,Elmore County,3.318886841
16041,Franklin County,7.732887224
16043,Fremont County,2.685581046
16045,Gem County,11.76165012
16047,Gooding County,8.030460038
16049,Idaho County,0.744058927
16051,Jefferson County,9.873907162
16053,Jerome County,15.14174383
16055,Kootenai County,47.91421073
16057,Latah County,14.08190883
16059,Lemhi County,0.659734273
16061,Lewis County,3.100451505
16063,Lincoln County,1.710098036
16065,Madison County,31.84557978
16067,Minidoka County,10.51458226
16069,Nez Perce County,18.27603307
16071,Oneida County,1.39311591
16073,Owyhee County,0.576771202
16075,Payette County,21.86372277
16077,Power County,2.12134991
16079,Shoshone County,1.833726538
16081,Teton County,9.525938818
16083,Twin Falls County,16.80980654
16085,Valley County,1.09569475
16087,Washington County,2.664189578
17001,Adams County,29.99225904
17003,Alexander County,10.7082503
17005,Bond County,16.96523477
17007,Boone County,73.71852195
17009,Brown County,8.431176356
17011,Bureau County,14.82995898
17013,Calhoun County,7.389684233
17015,Carroll County,12.63341931
17017,Cass County,13.01388792
17019,Champaign County,81.18425593
17021,Christian County,18.08415147
17023,Clark County,12.1937788
17025,Clay County,10.99754848
17027,Clinton County,30.65007094
17029,Coles County,39.29935727
17031,Cook County,2134.420727
17033,Crawford County,16.61337463
17035,Cumberland County,12.12707605
17037,DeKalb County,63.72410485
17039,De Witt County,15.57998011
17041,Douglas County,18.26796996
17043,DuPage County,1097.706801
17045,Edgar County,10.86302996
17047,Edwards County,11.29565936
17049,Effingham County,27.56033687
17051,Fayette County,11.70653283
17053,Ford County,10.65286252
17055,Franklin County,36.94368005
17057,Fulton County,15.79639524
17059,Gallatin County,6.164676977
17061,Greene County,9.398361553
17063,Grundy County,46.64480696
17065,Hamilton County,7.303033893
17067,Hancock County,8.810529687
17069,Hardin County,8.721837437
17071,Henderson County,7.016907047
17073,Henry County,23.20555427
17075,Iroquois County,9.733358959
17077,Jackson County,38.70528382
17079,Jasper County,7.492328536
17081,Jefferson County,25.79999368
17083,Jersey County,23.07397937
17085,Jo Daviess County,14.02907606
17087,Johnson County,14.14742746
17089,Kane County,394.6365022
17091,Kankakee County,63.38660191
17093,Kendall County,150.2481058
17095,Knox County,27.48428763
17097,Lake County,611.9473932
17099,LaSalle County,37.54987471
17101,Lawrence County,16.79466841
17103,Lee County,18.39148611
17105,Livingston County,13.43849744
17107,Logan County,18.24530364
17109,McDonough County,20.22523095
17111,McHenry County,196.9447844
17113,McLean County,56.52329122
17115,Macon County,70.834027
17117,Macoupin County,20.45636741
17119,Madison County,143.2523604
17121,Marion County,25.68659269
17123,Marshall County,11.77202362
17125,Mason County,9.864005992
17127,Massac County,23.48666437
17129,Menard County,15.18551962
17131,Mercer County,10.79671493
17133,Monroe County,34.00712549
17135,Montgomery County,15.91758335
17137,Morgan County,23.36849172
17139,Moultrie County,16.89759553
17141,Ogle County,26.1245481
17143,Peoria County,115.1201013
17145,Perry County,18.68972794
17147,Piatt County,14.44259449
17149,Pike County,7.316126073
17151,Pope County,4.448703804
17153,Pulaski County,10.8764031
17155,Putnam County,13.85716437
17157,Randolph County,21.84206736
17159,Richland County,17.0298773
17161,Rock Island County,131.2377894
17163,St. Clair County,154.6589893
17165,Saline County,24.62737221
17167,Sangamon County,87.89318766
17169,Schuyler County,6.237462724
17171,Scott County,7.766273484
17173,Shelby County,11.11301667
17175,Stark County,7.372807136
17177,Stephenson County,31.07125531
17179,Tazewell County,79.94877325
17181,Union County,15.99374516
17183,Vermilion County,33.70082419
17185,Wabash County,20.0133439
17187,Warren County,12.34242775
17189,Washington County,9.714770175
17191,Wayne County,8.916961044
17193,White County,10.94427594
17195,Whiteside County,31.82333406
17197,Will County,318.1154816
17199,Williamson County,61.84074421
17201,Winnebago County,215.2923728
17203,Woodford County,28.39687664
18001,Adams County,40.08179351
18003,Allen County,217.3430355
18005,Bartholomew County,77.70463936
18007,Benton County,8.233768324
18009,Blackford County,28.36798485
18011,Boone County,58.72257117
18013,Brown County,18.60542575
18015,Carroll County,20.73948855
18017,Cass County,35.67665338
18019,Clark County,119.8157579
18021,Clay County,28.36099234
18023,Clinton County,30.78868401
18025,Crawford County,13.36770047
18027,Daviess County,29.60963487
18029,Dearborn County,62.64777877
18031,Decatur County,27.51656313
18033,DeKalb County,45.44274523
18035,Delaware County,113.8465819
18037,Dubois County,38.33111647
18039,Elkhart County,169.7260192
18041,Fayette County,41.76501177
18043,Floyd County,200.4267844
18045,Fountain County,16.08752413
18047,Franklin County,22.94131686
18049,Fulton County,21.1833331
18051,Gibson County,26.61237944
18053,Grant County,62.42078621
18055,Greene County,22.98602823
18057,Hamilton County,309.5004043
18059,Hancock County,93.1702752
18061,Harrison County,31.64581592
18063,Hendricks County,152.7163239
18065,Henry County,47.76859054
18067,Howard County,108.5658021
18069,Huntington County,36.70626238
18071,Jackson County,33.26551785
18073,Jasper County,23.07748838
18075,Jay County,21.11313165
18077,Jefferson County,34.51373468
18079,Jennings County,28.42732454
18081,Johnson County,182.6191346
18083,Knox County,27.99003863
18085,Kosciusko County,57.25465489
18087,LaGrange County,39.60594245
18089,Lake County,376.8351487
18091,LaPorte County,71.34668635
18093,Lawrence County,39.21290011
18095,Madison County,110.6436258
18097,Marion County,919.8842006
18099,Marshall County,40.55371396
18101,Martin County,11.74081825
18103,Miami County,37.07835076
18105,Monroe County,142.2998736
18107,Montgomery County,29.28470884
18109,Morgan County,66.66490505
18111,Newton County,13.47185339
18113,Noble County,44.59381316
18115,Ohio County,26.38409816
18117,Orange County,18.94466405
18119,Owen County,20.9216928
18121,Parke County,14.7560218
18123,Perry County,19.35977641
18125,Pike County,14.33429022
18127,Porter County,155.1921167
18129,Posey County,24.13447884
18131,Pulaski County,11.27148482
18133,Putnam County,30.17790917
18135,Randolph County,21.40217336
18137,Ripley County,24.58406455
18139,Rush County,15.80268731
18141,St. Joseph County,227.030765
18143,Scott County,48.14793346
18145,Shelby County,41.6959742
18147,Spencer County,19.97423724
18149,Starke County,28.65190254
18151,Steuben County,43.10708625
18153,Sullivan County,17.95244612
18155,Switzerland County,18.59635835
18157,Tippecanoe County,146.493852
18159,Tipton County,22.55194746
18161,Union County,17.13372852
18163,Vanderburgh County,299.58893
18165,Vermillion County,23.38881211
18167,Vigo County,103.036695
18169,Wabash County,29.60432149
18171,Warren County,8.731197785
18173,Warrick County,62.13523904
18175,Washington County,20.91543017
18177,Wayne County,64.01937413
18179,Wells County,29.31479067
18181,White County,18.51066263
18183,Whitley County,38.71472137
19001,Adair County,4.831782244
19003,Adams County,3.397507664
19005,Allamakee County,8.386120959
19007,Appanoose County,9.71289233
19009,Audubon County,4.913426442
19011,Benton County,13.81681748
19013,Black Hawk County,90.75418035
19015,Boone County,17.83319785
19017,Bremer County,21.97208698
19019,Buchanan County,14.28246931
19021,Buena Vista County,13.60661307
19023,Butler County,9.806636156
19025,Calhoun County,6.626489394
19027,Carroll County,13.79408452
19029,Cass County,9.026137483
19031,Cedar County,12.29012208
19033,Cerro Gordo County,29.2032628
19035,Cherokee County,7.675106756
19037,Chickasaw County,9.262594494
19039,Clarke County,8.311870359
19041,Clay County,11.10377907
19043,Clayton County,8.764586182
19045,Clinton County,26.23486556
19047,Crawford County,9.261827704
19049,Dallas County,55.12878593
19051,Davis County,6.831137227
19053,Decatur County,5.839279272
19055,Delaware County,11.53463723
19057,Des Moines County,36.74252075
19059,Dickinson County,17.30620856
19061,Dubuque County,61.44255068
19063,Emmet County,9.315063516
19065,Fayette County,10.52861836
19067,Floyd County,12.23015567
19069,Franklin County,6.796916751
19071,Fremont County,5.263174731
19073,Greene County,6.10247441
19075,Grundy County,9.494553801
19077,Guthrie County,6.977844134
19079,Hamilton County,10.11524843
19081,Hancock County,7.362253331
19083,Hardin County,11.61542289
19085,Harrison County,7.836261216
19087,Henry County,17.71515424
19089,Howard County,7.558112542
19091,Humboldt County,8.502999552
19093,Ida County,6.188261505
19095,Iowa County,10.67013973
19097,Jackson County,11.77365436
19099,Jasper County,19.500879
19101,Jefferson County,16.025712
19103,Johnson County,92.59088846
19105,Jones County,13.79608334
19107,Keokuk County,6.799743695
19109,Kossuth County,5.983658257
19111,Lee County,25.76824008
19113,Linn County,119.5965626
19115,Louisa County,10.7852898
19117,Lucas County,7.708532684
19119,Lyon County,7.732552439
19121,Madison County,10.93600046
19123,Mahaska County,15.02034603
19125,Marion County,23.12270871
19127,Marshall County,27.15919211
19129,Mills County,13.20181439
19131,Mitchell County,8.7494411
19133,Monona County,4.893087803
19135,Monroe County,6.999781518
19137,Montgomery County,9.245217486
19139,Muscatine County,37.9089724
19141,O'Brien County,9.373015524
19143,Osceola County,5.921980088
19145,Page County,11.08843544
19147,Palo Alto County,6.200391523
19149,Plymouth County,11.20455973
19151,Pocahontas County,4.613901338
19153,Polk County,320.0174034
19155,Pottawattamie County,37.9810442
19157,Poweshiek County,12.28097258
19159,Ringgold County,3.593542221
19161,Sac County,6.625930765
19163,Scott County,145.2145154
19165,Shelby County,7.642585061
19167,Sioux County,17.50981089
19169,Story County,65.34233437
19171,Tama County,9.176343253
19173,Taylor County,4.501244934
19175,Union County,11.34942911
19177,Van Buren County,5.752416083
19179,Wapello County,31.57485744
19181,Warren County,33.44528713
19183,Washington County,15.03038264
19185,Wayne County,4.711928652
19187,Webster County,19.82923648
19189,Winnebago County,10.19125402
19191,Winneshiek County,11.41847033
19193,Woodbury County,45.29299731
19195,Worth County,7.226567749
19197,Wright County,8.517437047
20001,Allen County,9.747146923
20003,Anderson County,5.230212046
20005,Atchison County,14.65251573
20007,Barber County,1.611380319
20009,Barton County,11.5542922
20011,Bourbon County,8.932705769
20013,Brown County,6.536133047
20015,Butler County,17.95065849
20017,Chase County,1.321045619
20019,Chautauqua County,2.034817149
20021,Cherokee County,13.35991581
20023,Cheyenne County,1.013438597
20025,Clark County,0.813294675
20027,Clay County,4.871615365
20029,Cloud County,4.890089966
20031,Coffey County,5.109557631
20033,Comanche County,0.871830565
20035,Cowley County,12.20689123
20037,Crawford County,25.60264884
20039,Decatur County,1.244923019
20041,Dickinson County,8.662222525
20043,Doniphan County,7.590969279
20045,Douglas County,101.0833249
20047,Edwards County,1.81598148
20049,Elk County,1.53538511
20051,Ellis County,12.38993784
20053,Ellsworth County,3.395507757
20055,Finney County,10.95945138
20057,Ford County,12.12300932
20059,Franklin County,17.26231922
20061,Geary County,35.02556585
20063,Gove County,0.943579106
