geoid,name,svi,weighted_wfp,pop,state
13187,Lumpkin,43.38,85.80491642,31951,Georgia
13057,Cherokee,11.85,85.75316981,241910,Georgia
13269,Taylor,91.97,85.70705854,8193,Georgia
28067,Jones,89.2,85.45190163,68454,Mississippi
48183,Gregg,88.25,85.4404959,123494,Texas
45069,Marlboro,98.69,85.40927269,27131,South Carolina
37165,Scotland,99.36,85.30364942,35262,North Carolina
13313,Whitfield,87.93,85.25943782,103849,Georgia
45063,Lexington,44.2,85.18170481,286316,South Carolina
13231,Pike,15.1,85.05208922,18082,Georgia
13015,Bartow,59.14,85.0016875,103620,Georgia
28031,Covington,78.79,84.77707836,19091,Mississippi
41027,Hood River,54.55,84.67802666,23131,Oregon
16079,Shoshone,75.7,84.64503948,12526,Idaho
13047,Catoosa,13.18,84.4667833,66299,Georgia
6061,Placer,15.19,84.4333313,380077,California
37023,Burke,84.87,84.0783213,89712,North Carolina
30061,Mineral,56.21,83.93220382,4211,Montana
13129,Gordon,88.06,83.81316522,56790,Georgia
6003,Alpine,72.87,83.66679387,1146,California
45067,Marion,92.93,83.6517408,31562,South Carolina
13311,White,23.57,83.19432752,28928,Georgia
1019,Cherokee,45.16,83.06517458,25853,Alabama
45041,Florence,89.87,82.96755718,138561,South Carolina
12017,Citrus,60.22,82.78351393,143087,Florida
45017,Calhoun,56.27,82.75829231,14713,South Carolina
34027,Morris,12.01,82.7405249,494383,New Jersey
13257,Stephens,79.68,82.54796392,25676,Georgia
6055,Napa,50.51,82.46361515,140530,California
6043,Mariposa,52.93,82.32673427,17540,California
13217,Newton,70.7,82.28089054,106497,Georgia
40089,McCurtain,91.37,82.04206092,32966,Oklahoma
48063,Camp,90.19,81.96630184,12813,Texas
13159,Jasper,69.27,81.89463771,13784,Georgia
8007,Archuleta,25.7,81.73483803,12908,Colorado
1121,Talladega,87.36,81.30029357,80565,Alabama
6007,Butte,80.64,80.86606435,227075,California
45033,Dillon,96.82,80.79949431,30871,South Carolina
37047,Columbus,94.81,80.70305072,56293,North Carolina
37111,McDowell,78.95,80.61981578,45109,North Carolina
13227,Pickens,27.96,80.58376638,30832,Georgia
36071,Orange,55.38,80.47010833,378227,New York
6109,Tuolumne,46.88,80.14244903,53932,California
45079,Richland,63.09,79.75230479,408263,South Carolina
13199,Meriwether,87.01,79.55678821,21113,Georgia
37071,Gaston,67.2,79.41449176,216585,North Carolina
36079,Putnam,8.12,78.93977197,99070,New York
45085,Sumter,97.32,78.88407417,106995,South Carolina
13171,Lamar,49.17,78.79393877,18513,Georgia
13319,Wilkinson,78.73,78.73313921,9078,Georgia
16039,Elmore,58.82,78.65356053,26433,Idaho
30053,Lincoln,41.94,78.61736044,19358,Montana
37155,Robeson,99.11,78.57132209,133442,North Carolina
13213,Murray,71.34,78.18804744,39557,Georgia
13249,Schley,82.48,78.11380758,5211,Georgia
37025,Cabarrus,41.75,78.03437377,201448,North Carolina
45031,Darlington,92.68,78.00233992,67253,South Carolina
6023,Humboldt,76.05,77.95377244,135768,California
8067,La Plata,10.86,77.88027592,55101,Colorado
48315,Marion,68.85,77.86087636,10083,Texas
37085,Harnett,78.69,77.82220578,130361,North Carolina
13151,Henry,31.37,77.62247254,221307,Georgia
28041,Greene,60.67,77.59873709,13714,Mississippi
37159,Rowan,81.43,77.5818899,139605,North Carolina
16085,Valley,8.82,77.54861253,10401,Idaho
12055,Highlands,87.29,77.4927938,102101,Florida
40121,Pittsburg,82.64,77.45531663,44382,Oklahoma
8119,Teller,7.29,77.44838501,24113,Colorado
48343,Morris,72.99,77.42648457,12424,Texas
36087,Rockland,60.38,77.15807178,323686,New York
13073,Columbia,13.34,77.09509155,147295,Georgia
4007,Gila,89.9,77.03927223,53400,Arizona
37119,Mecklenburg,44.08,76.98643665,1054314,North Carolina
13119,Franklin,84.62,76.79031211,22514,Georgia
49029,Morgan,0.03,76.56169182,11391,Utah
48235,Irion,20.13,76.38127029,1524,Texas
13189,McDuffie,93.76,76.34400241,21498,Georgia
53037,Kittitas,28.31,76.27419697,44825,Washington
35028,Los Alamos,2.48,76.24035942,18356,New Mexico
12049,Hardee,98.31,76.18311753,27228,Florida
45061,Lee,92.1,76.15084225,17606,South Carolina
8019,Clear Creek,1.97,76.09602226,9379,Colorado
37003,Alexander,63.41,75.92335076,37119,North Carolina
47061,Grundy,86.85,75.84109573,13331,Tennessee
37167,Stanly,63.25,75.69716611,61114,North Carolina
37109,Lincoln,35.64,75.63821975,81441,North Carolina
37027,Caldwell,65.1,75.61749645,81779,North Carolina
12097,Osceola,81.78,75.60990124,338619,Florida
13177,Lee,35.19,75.5979753,29348,Georgia
37045,Cleveland,83.5,75.45330703,97159,North Carolina
21159,Martin,84.94,75.3539088,11919,Kentucky
47115,Marion,50.61,75.26208836,28417,Tennessee
37035,Catawba,64.81,75.25759456,156729,North Carolina
45089,Williamsburg,97.04,75.18628883,31794,South Carolina
12027,DeSoto,96.18,75.13452676,36399,Florida
45053,Jasper,94.49,75.02093151,27900,South Carolina
8047,Gilpin,0.22,74.92599915,5924,Colorado
48299,Llano,46.66,74.65542306,20640,Texas
48431,Sterling,41.27,74.42023449,1141,Texas
13123,Gilmer,55.99,74.3253989,29922,Georgia
8111,San Juan,12.83,74.29791671,544,Colorado
45055,Kershaw,49.59,74.25905578,64361,South Carolina
6115,Yuba,94.2,74.13872853,75493,California
48033,Borden,6.21,74.02520807,665,Texas
12101,Pasco,63.44,73.80473815,510593,Florida
28007,Attala,98.44,73.62426686,18581,Mississippi
37179,Union,18.73,73.60668693,226694,North Carolina
16045,Gem,66.27,73.59449784,17052,Idaho
20197,Wabaunsee,5.32,73.57462365,6888,Kansas
41061,Union,67.29,73.45816129,26028,Oregon
36093,Schenectady,39.43,73.45328188,154883,New York
56039,Teton,11.27,73.12159521,23059,Wyoming
48423,Smith,74.62,73.08352421,225015,Texas
20017,Chase,40.67,73.04743532,2645,Kansas
13139,Hall,66.18,72.72716154,195961,Georgia
6041,Marin,27.01,72.56893156,260295,California
45027,Clarendon,97.93,72.33961754,34017,South Carolina
48203,Harrison,73.06,72.33090076,66645,Texas
16017,Bonner,24.01,72.27016349,42711,Idaho
48171,Gillespie,35.73,72.26417473,26208,Texas
21119,Knott,85.48,72.1355121,15513,Kentucky
36119,Westchester,55.16,71.91291771,968815,New York
41063,Wallowa,50.32,71.88711375,6924,Oregon
34031,Passaic,77.64,71.85424626,504041,New Jersey
48081,Coke,62.04,71.7912443,3275,Texas
12105,Polk,90.35,71.6808205,668671,Florida
21121,Knox,83.25,71.67550486,31467,Kentucky
48031,Blanco,27.83,71.4849472,11279,Texas
8059,Jefferson,6.27,71.35433163,570427,Colorado
12093,Okeechobee,94.65,71.33487712,40572,Florida
37051,Cumberland,86.4,71.15094713,332106,North Carolina
21193,Perry,90.51,71.11409312,26917,Kentucky
28039,George,61.37,71.0286453,23710,Mississippi
40079,Le Flore,90.32,70.92533581,49909,Oklahoma
20073,Greenwood,21.27,70.78739668,6156,Kansas
16087,Washington,85.06,70.69676114,10025,Idaho
13137,Habersham,71.46,70.53116085,44289,Georgia
13011,Banks,55.86,70.23488602,18510,Georgia
21189,Owsley,84.14,70.22832387,4463,Kentucky
30081,Ravalli,18.6,70.21283999,41902,Montana
21025,Breathitt,82.2,70.17826525,13116,Kentucky
40061,Haskell,87.36,70.06990112,12704,Oklahoma
28003,Alcorn,69.55,70.067472,37180,Mississippi
48401,Rusk,79.65,69.94158939,53595,Texas
48319,Mason,35.7,69.69896136,4161,Texas
13169,Jones,37.93,69.68719674,28548,Georgia
30063,Missoula,17.8,69.5922122,115983,Montana
21071,Floyd,85.03,69.36914878,36926,Kentucky
34037,Sussex,1.91,69.14382327,142298,New Jersey
13111,Fannin,30.03,69.12171476,24925,Georgia
49043,Summit,5,69.08992322,40511,Utah
37021,Buncombe,37.99,68.5888186,254474,North Carolina
6087,Santa Cruz,54.3,68.58442801,273765,California
48237,Jack,65.38,68.56053849,8842,Texas
32510,Carson City,84.43,68.4293136,54467,Nevada
30067,Park,6.88,68.38221096,16246,Montana
53077,Yakima,92.77,68.24290225,249325,Washington
13207,Monroe,45.96,68.02353239,27010,Georgia
40001,Adair,89.65,68.00814558,22113,Oklahoma
48363,Palo Pinto,87.99,67.95726897,28317,Texas
20127,Morris,24.36,67.82559551,5566,Kansas
8045,Garfield,35.1,67.80556381,58538,Colorado
21051,Clay,90.99,67.62548347,20621,Kentucky
30089,Sanders,34.78,67.46443313,11521,Montana
48259,Kendall,22.83,67.43154073,41982,Texas
8091,Ouray,2.39,67.41707919,4722,Colorado
37089,Henderson,32.1,67.37950092,113625,North Carolina
8027,Custer,24.33,67.25970865,4640,Colorado
37097,Iredell,37.45,66.87836658,172525,North Carolina
12119,Sumter,23.6,66.63268004,120999,Florida
45015,Berkeley,51.46,66.59632189,209065,South Carolina
13291,Union,31.15,66.48331521,22775,Georgia
8103,Rio Blanco,34.01,66.20747237,6465,Colorado
8013,Boulder,17.04,66.19936483,321030,Colorado
21195,Pike,79.08,66.00265817,60483,Kentucky
20049,Elk,38.95,65.82833374,2562,Kansas
6093,Siskiyou,72.23,65.8198621,43540,California
48497,Wise,57.68,65.73643022,64639,Texas
36001,Albany,30.41,65.67614366,307426,New York
48413,Schleicher,58.57,65.61277209,3061,Texas
16025,Camas,13.38,65.57738858,886,Idaho
30029,Flathead,9.24,65.55534621,98082,Montana
37017,Bladen,94.46,65.53095052,33778,North Carolina
40005,Atoka,80.76,65.44055293,13874,Oklahoma
54059,Mingo,78.5,65.43885767,24741,West Virginia
21153,Magoffin,80.57,65.4093306,12666,Kentucky
13193,Macon,93.12,65.2631606,13480,Georgia
49049,Utah,27.8,65.24426912,590440,Utah
34035,Somerset,10,65.22965708,330176,New Jersey
49051,Wasatch,6.43,65.01810184,30523,Utah
21115,Johnson,81.02,64.90950942,22843,Kentucky
1015,Calhoun,82.52,64.88104889,115098,Alabama
53059,Skamania,21.94,64.73196148,11620,Washington
16001,Ada,13.73,64.56875195,446052,Idaho
13117,Forsyth,3.73,64.55814715,219880,Georgia
41065,Wasco,83.89,64.48514805,25866,Oregon
49053,Washington,41.43,64.41992697,160537,Utah
13261,Sumter,97.64,64.28676467,30352,Georgia
48169,Garza,72.13,64.28227491,6288,Texas
8043,Fremont,65.25,64.21084689,47002,Colorado
8053,Hinsdale,6.24,64.19146955,878,Colorado
28117,Prentiss,85.13,64.18956373,25360,Mississippi
6081,San Mateo,26.5,63.86838771,765935,California
45049,Hampton,80.32,63.71719511,19807,South Carolina
37161,Rutherford,75.51,63.67392471,66532,North Carolina
13263,Talbot,85.89,63.40736864,6378,Georgia
21131,Leslie,77.45,63.38050567,10472,Kentucky
40113,Osage,62.39,63.28955775,47311,Oklahoma
16021,Boundary,30.83,63.23323694,11549,Idaho
41031,Jefferson,91.18,63.18684979,23143,Oregon
48353,Nolan,88.66,63.08258319,14966,Texas
48265,Kerr,69.59,62.82677225,51365,Texas
40029,Coal,82.55,62.7334996,5618,Oklahoma
8077,Mesa,57.55,62.69261667,149998,Colorado
8113,San Miguel,3.31,62.47072607,7968,Colorado
13097,Douglas,54.04,62.03504955,141840,Georgia
16073,Owyhee,82.45,61.78257175,11455,Idaho
48053,Burnet,52.99,61.64858709,45750,Texas
48449,Titus,89.01,61.50213272,32730,Texas
48451,Tom Green,66.43,61.48553981,117466,Texas
36083,Rensselaer,34.3,61.45682321,159431,New York
21235,Whitley,83.79,61.43831304,36089,Kentucky
48367,Parker,25.61,61.43401819,129802,Texas
49057,Weber,42.71,61.33946958,247731,Utah
8033,Dolores,15.16,61.26165318,1841,Colorado
8035,Douglas,1.5,61.25760614,328614,Colorado
21125,Laurel,75.22,61.20972709,60180,Kentucky
27159,Wadena,65.54,61.19401189,13646,Minnesota
48143,Erath,62.52,61.07205879,41482,Texas
34023,Middlesex,46.59,60.78142416,826698,New Jersey
48411,San Saba,73.15,60.64741151,5962,Texas
48417,Shackelford,68.5,60.5877853,3311,Texas
53019,Ferry,82.23,60.45899435,7576,Washington
28131,Stone,60.45,60.40882371,18375,Mississippi
48457,Tyler,88.34,60.40518508,21496,Texas
40069,Johnston,84.68,60.39735523,11041,Oklahoma
46017,Buffalo,97.1,60.27354583,2053,South Dakota
53039,Klickitat,57.23,60.19534293,21396,Washington
48245,Jefferson,85.67,60.10174557,255210,Texas
48059,Callahan,29.68,60.08333883,13770,Texas
20111,Lyon,73.22,60.02854479,33299,Kansas
40107,Okfuskee,92.87,60.02689128,12115,Oklahoma
27141,Sherburne,8.85,59.9501885,93231,Minnesota
48429,Stephens,88.5,59.8294717,9372,Texas
13197,Marion,85.19,59.81547003,8484,Georgia
48049,Brown,62.77,59.74715523,37834,Texas
13103,Effingham,23.63,59.59740074,58689,Georgia
20019,Chautauqua,71.88,59.55838604,3367,Kansas
48337,Montague,58.41,59.50656466,19409,Texas
28073,Lamar,53.06,59.20492518,61223,Mississippi
48335,Mitchell,62.13,58.99719084,8558,Texas
8085,Montrose,71.53,58.84388787,41268,Colorado
13247,Rockdale,55.29,58.8147092,89011,Georgia
20149,Pottawatomie,14.87,58.69945928,23545,Kansas
20061,Geary,65.76,58.59139947,34895,Kansas
27031,Cook,20.29,58.58570814,5311,Minnesota
40135,Sequoyah,91.59,58.52752756,41359,Oklahoma
21013,Bell,89.27,58.31733544,27188,Kentucky
48435,Sutton,60.41,58.23834422,3865,Texas
28141,Tishomingo,66.59,58.15363664,19478,Mississippi
16047,Gooding,70.76,58.08715029,15169,Idaho
35055,Taos,85.86,58.05359248,32888,New Mexico
20035,Cowley,73.18,58.0445588,35591,Kansas
21133,Letcher,87.55,57.89875278,22676,Kentucky
41005,Clackamas,18.95,57.85189512,405788,Oregon
40063,Hughes,81.15,57.7884644,13460,Oklahoma
13307,Webster,78.76,57.72738294,2613,Georgia
48073,Cherokee,91.91,57.39929694,51903,Texas
6039,Madera,95.41,57.34257279,155013,California
40021,Cherokee,92.71,57.22387325,48599,Oklahoma
48267,Kimble,58.85,57.18253577,4408,Texas
8029,Delta,68.66,57.14909819,30346,Colorado
56029,Park,6.59,56.97929538,29121,Wyoming
12011,Broward,58.44,56.84847196,1909151,Florida
16083,Twin Falls,49.55,56.7789443,83666,Idaho
54045,Logan,74.71,56.63317444,33801,West Virginia
48221,Hood,26.02,56.40232392,56901,Texas
48083,Coleman,41.85,56.38521289,8391,Texas
35039,Rio Arriba,0,56.35900576,39307,New Mexico
48307,McCulloch,73.95,56.32055312,8098,Texas
40091,McIntosh,78.28,56.31992884,19819,Oklahoma
48385,Real,71.69,56.25709154,3389,Texas
47007,Bledsoe,81.59,56.2468034,14602,Tennessee
8079,Mineral,2.61,56.16033269,823,Colorado
27003,Anoka,14.04,55.9746872,347431,Minnesota
48441,Taylor,69.33,55.91775528,136348,Texas
48499,Wood,63.22,55.75091811,43815,Texas
37039,Cherokee,48.69,55.67419911,27668,North Carolina
48327,Menard,58.54,55.60186935,2123,Texas
40037,Creek,49.01,55.50129295,71160,Oklahoma
40019,Carter,79.14,55.34770705,48406,Oklahoma
1127,Walker,74.52,55.30351829,64493,Alabama
48263,Kent,44.27,55.22394552,749,Texas
53065,Stevens,46.15,55.10119387,44214,Washington
41023,Grant,54.65,55.0980619,7183,Oregon
6053,Monterey,79.9,54.99683248,433212,California
6021,Glenn,88.95,54.96466089,27897,California
51105,Lee,80.73,54.82230017,24134,Virginia
30077,Powell,25.45,54.78150202,6861,Montana
45043,Georgetown,67.71,54.5964762,61605,South Carolina
48425,Somervell,56.05,54.36472982,8743,Texas
53047,Okanogan,92.55,54.3601924,41638,Washington
13113,Fayette,6.08,54.33692178,111369,Georgia
27075,Lake,11.02,54.27749591,10569,Minnesota
27059,Isanti,10.22,54.24345662,38974,Minnesota
48133,Eastland,80.67,54.15159207,18270,Texas
12053,Hernando,54.9,54.14883633,182696,Florida
48091,Comal,23.79,54.07225796,135097,Texas
48241,Jasper,82.39,53.94391163,35504,Texas
30093,Silver Bow,52.58,53.90479675,34814,Montana
48415,Scurry,69.94,53.87932974,17239,Texas
27007,Beltrami,77.71,53.79218687,46117,Minnesota
4025,Yavapai,52.1,53.74562955,224645,Arizona
40129,Roger Mills,40.03,53.44649594,3708,Oklahoma
13147,Hart,71.94,53.44293505,25631,Georgia
30049,Lewis and Clark,12.58,53.43990809,67077,Montana
48037,Bowie,85.29,53.42275014,93858,Texas
12043,Glades,90.48,53.39512302,13363,Florida
49035,Salt Lake,32.29,53.35287829,1120805,Utah
53051,Pend Oreille,53.6,53.34787185,13219,Washington
8069,Larimer,11.94,53.23306438,338161,Colorado
28085,Lincoln,75.86,53.15578915,34432,Mississippi
6001,Alameda,47.01,53.05900115,1643700,California
40085,Love,62.93,53.0538095,9933,Oklahoma
49007,Carbon,56.15,53.01955531,20356,Utah
28153,Wayne,89.97,53.00762378,20422,Mississippi
30031,Gallatin,4.27,52.94492124,104729,Montana
48503,Young,55.32,52.86434498,18114,Texas
40123,Pontotoc,65,52.78770639,38358,Oklahoma
54099,Wayne,60.06,52.69352615,40708,West Virginia
21237,Wolfe,86.21,52.43697255,7223,Kentucky
1027,Clay,56.4,52.42567598,13378,Alabama
16031,Cassia,67.32,52.36289609,23615,Idaho
27097,Morrison,26.82,52.33422291,32949,Minnesota
20169,Saline,41.62,52.29945827,54977,Kansas
40133,Seminole,92.9,52.11255478,25071,Oklahoma
45037,Edgefield,84.84,52.03626635,26769,South Carolina
41069,Wheeler,39.01,52.02908419,1426,Oregon
13081,Crisp,98.57,51.98025211,22846,Georgia
34025,Monmouth,16.05,51.945475,623387,New Jersey
16075,Payette,60.1,51.94437864,23041,Idaho
41013,Crook,57.29,51.8823919,22337,Oregon
48209,Hays,49.24,51.84390112,204150,Texas
41017,Deschutes,16.37,51.72975282,180640,Oregon
6111,Ventura,48.28,51.50958271,848112,California
27029,Clearwater,79.17,51.33649382,8812,Minnesota
6037,Los Angeles,76.82,51.31649234,10098052,California
37037,Chatham,38.09,51.2782758,69791,North Carolina
20015,Butler,26.24,51.26402397,66468,Kansas
49009,Daggett,7.55,51.22509046,612,Utah
21109,Jackson,66.62,51.08768276,13373,Kentucky
51195,Wise,85.99,51.0071684,39025,Virginia
8107,Routt,6.34,50.87519837,24874,Colorado
32005,Douglas,17.93,50.85041525,47828,Nevada
40081,Lincoln,47.87,50.83768159,34854,Oklahoma
21129,Lee,81.82,50.63907904,6751,Kentucky
48137,Edwards,43.85,50.58352289,2055,Texas
40095,Marshall,85.45,50.56962891,16376,Oklahoma
8083,Montezuma,49.46,50.5369125,25909,Colorado
30009,Carbon,4.33,50.47405089,10546,Montana
41059,Umatilla,96.88,50.28228696,76898,Oregon
30039,Granite,7.64,50.25487871,3269,Montana
30047,Lake,64.68,50.14943307,29774,Montana
34039,Union,62.32,49.97079897,553066,New Jersey
20161,Riley,43.73,49.76389337,75296,Kansas
48035,Bosque,61.75,49.74204059,18122,Texas
6013,Contra Costa,40.57,49.62045421,1133247,California
12086,Miami-Dade,81.75,49.61318211,2715516,Florida
48365,Panola,69.52,49.34608311,23440,Texas
6073,San Diego,55.96,49.23735379,3302833,California
30043,Jefferson,4.81,49.15019647,11778,Montana
48199,Hardin,25.32,49.02250462,56379,Texas
6085,Santa Clara,35.57,48.98488437,1922200,California
41001,Baker,68.54,48.92511533,15984,Oregon
37087,Haywood,28.09,48.80372315,60433,North Carolina
48097,Cooke,62.26,48.80331817,39571,Texas
48345,Motley,70.03,48.59484638,1156,Texas
40099,Murray,70.92,48.50564293,13875,Oklahoma
13141,Hancock,79.84,48.49281902,8535,Georgia
37199,Yancey,57.36,48.39418664,17667,North Carolina
6059,Orange,41.91,48.28483901,3164182,California
30023,Deer Lodge,47.17,48.2723488,9100,Montana
12061,Indian River,39.62,48.14158496,150984,Florida
13237,Putnam,42.8,48.12320578,21503,Georgia
54043,Lincoln,60.57,48.08541871,21078,West Virginia
51720,Norton,90.54,48.01299662,3990,Virginia
48387,Red River,56.5,47.91852762,12275,Texas
47065,Hamilton,41.37,47.89574409,357546,Tennessee
13093,Dooly,94.84,47.83595274,13905,Georgia
48125,Dickens,87.96,47.79672069,2216,Texas
48333,Mills,76.88,47.56261337,4902,Texas
37149,Polk,38.25,47.5051862,20458,North Carolina
46069,Hyde,9.43,47.41515408,1331,South Dakota
36005,Bronx,99.27,47.34818458,1437872,New York
41019,Douglas,72.77,47.32104662,108323,Oregon
40117,Pawnee,54.24,47.31469283,16428,Oklahoma
40023,Choctaw,96.02,47.26979396,14886,Oklahoma
16059,Lemhi,29.97,47.10753287,7798,Idaho
40059,Harper,31.85,47.10118426,3847,Oklahoma
41035,Klamath,86.88,47.03968586,66310,Oregon
13149,Heard,72.32,46.89043664,11677,Georgia
21127,Lawrence,75.83,46.85190633,15783,Kentucky
40101,Muskogee,93.38,46.80116595,69084,Oklahoma
16005,Bannock,57.9,46.77189402,85065,Idaho
8055,Huerfano,59.55,46.62723792,6583,Colorado
37099,Jackson,62.36,46.53281885,42256,North Carolina
53061,Snohomish,27.55,46.48064987,786620,Washington
13079,Crawford,68.15,46.47153533,12344,Georgia
41043,Linn,67.9,46.31285097,122870,Oregon
48193,Hamilton,60.83,46.18999647,8269,Texas
48227,Howard,91.53,46.162507,36667,Texas
16057,Latah,24.84,46.08349944,39239,Idaho
40009,Beckham,71.18,45.97929435,22621,Oklahoma
53013,Columbia,31.46,45.89835501,4001,Washington
53003,Asotin,42.48,45.79019663,22337,Washington
35033,Mora,79.59,45.70688627,4563,New Mexico
13195,Madison,64.17,45.49806715,28900,Georgia
48077,Clay,31.82,45.45925815,10387,Texas
34003,Bergen,23.95,45.40328371,929999,New Jersey
20155,Reno,58.66,45.29995282,63101,Kansas
20053,Ellsworth,39.52,45.28498586,6293,Kansas
30059,Meagher,4.65,45.21400209,1968,Montana
28139,Tippah,86.46,45.15734848,21990,Mississippi
27125,Red Lake,15.25,45.15680502,4008,Minnesota
16055,Kootenai,23.28,44.98663504,153605,Idaho
48281,Lampasas,54.43,44.92838196,20640,Texas
5131,Sebastian,83.28,44.87965278,127461,Arkansas
27095,Mille Lacs,59.17,44.87046777,25728,Minnesota
27113,Pennington,30.16,44.80619315,14184,Minnesota
27009,Benton,43.18,44.73450672,39779,Minnesota
40111,Okmulgee,86.59,44.62579763,38889,Oklahoma
21175,Morgan,82.93,44.42374892,13285,Kentucky
48009,Archer,8.98,44.38232188,8789,Texas
49013,Duchesne,48.22,44.36255377,20219,Utah
6011,Colusa,74.36,44.35121678,21464,California
40097,Mayes,75.19,44.21933834,40980,Oklahoma
48099,Coryell,78.09,44.21078799,75389,Texas
35049,Santa Fe,52.55,44.18726189,148917,New Mexico
16061,Lewis,56.78,44.01941917,3845,Idaho
54109,Wyoming,64.43,44.01842808,21711,West Virginia
35007,Colfax,96.27,43.94375503,12353,New Mexico
48447,Throckmorton,26.78,43.93148995,1567,Texas
47175,Van Buren,60.25,43.78868718,5704,Tennessee
40137,Stephens,60.51,43.69572104,43983,Oklahoma
51051,Dickenson,68.06,43.38813134,14960,Virginia
45021,Cherokee,69.78,43.36441685,56711,South Carolina
54005,Boone,70.41,43.21379604,22817,West Virginia
13251,Screven,85.25,43.15484095,13990,Georgia
48269,King,19.55,43.14067233,228,Texas
40049,Garvin,51.15,43.13170946,27823,Oklahoma
46033,Custer,22.8,43.12720373,8573,South Dakota
48093,Comanche,72.64,42.95278431,13495,Texas
45013,Beaufort,40.06,42.81507665,182658,South Carolina
40125,Pottawatomie,78.15,42.78989651,72000,Oklahoma
48129,Donley,45.25,42.76351831,3387,Texas
37059,Davie,44.11,42.68034755,41991,North Carolina
5033,Crawford,61.05,42.63986068,62472,Arkansas
16077,Power,51.62,42.59765125,7713,Idaho
8097,Pitkin,6.56,42.55282967,17909,Colorado
40067,Jefferson,87.45,42.50105585,6223,Oklahoma
1049,DeKalb,80.22,42.27529982,71200,Alabama
13033,Burke,84.55,42.18117986,22550,Georgia
47025,Claiborne,71.02,42.07457129,31613,Tennessee
12099,Palm Beach,55.92,42.04871131,1446277,Florida
28059,Jackson,54.33,41.99576623,142014,Mississippi
30097,Sweet Grass,0.86,41.94242447,3653,Montana
41045,Malheur,99.65,41.80102166,30431,Oregon
48433,Stonewall,32.36,41.72223774,1385,Texas
34013,Essex,84.04,41.67659098,793555,New Jersey
27153,Todd,48.12,41.55350559,24440,Minnesota
48101,Cottle,93.63,41.49744859,1623,Texas
37057,Davidson,68.41,41.38137429,164664,North Carolina
36027,Dutchess,42.07,41.26333534,293894,New York
27035,Crow Wing,12.23,41.11569757,63855,Minnesota
56035,Sublette,2.93,40.93414301,9951,Wyoming
48375,Potter,92.48,40.88508661,120899,Texas
48191,Hall,95,40.83479481,3074,Texas
34005,Burlington,20.54,40.80905178,446367,New Jersey
6107,Tulare,94.17,40.70557445,460477,California
27089,Marshall,14.11,40.47008888,9392,Minnesota
6047,Merced,97.17,40.43346407,269075,California
12013,Calhoun,84.01,40.38470733,14444,Florida
